"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"2","","0","Authentification page","0","0","AuthentificationPage","0"
"1","","0","Réinitialisation des champs Synthése de paiement","0","0","Retinitialiser les champs","0"
"1","","0","Ajouterun nouveau repas","0","0","Ajouter un nouveau repas avec quantite nulle","0"
"1","","0","ajouter un repas","0","0","Ajouter un nouveau repas avec nom deja existant","0"
"1","","0","Ajouter un repas","0","0","Acceder au formulaire d ajout d un repas via le menu cantine","0"
"1","","0","Recherche facture d un etudiant","0","0","Rechercher facture etudiant","0"
"1","","0","Ajouter un repas avec date passee","0","0","Ajouter un nouveau repas avec datre dans le passe","0"
"1","","0","Ajouter un nouveau bus","1","0","Ajouter un chaffeur avec Nom existant","0"
"1","","0","Ajouter un nouveau bus","0","0","Afficher le formulaire chauffeur","0"
"1","","0","Modifier un repas existant","0","0","modifier un repas deja existant","0"
"1","","0","Ajouter un nouveau bus","0","0","Afficher le formulaire d ajout d un bus","0"
"1","","0","Ajouter un nouveau bus","0","0","Ajouter un chaffeur avec des informations valides","0"
"1","","0","Ajouter un nouveau chauffeur sans Nom","0","0","Ajouter un chauffeur avec Nom vide","0"
"1","","0","Ajouter un repas avec nom vide","0","0","Ajouter un nouveau repas avec nom vide","0"
