"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","20813","AuthentificationPage","","Wed Jun 24 17:46:00 UTC 2026","broken","Wed Jun 24 17:46:21 UTC 2026","","Authentification page","AuthentificationPage",""
"","20796","Retinitialiser les champs","","Wed Jun 24 17:46:41 UTC 2026","broken","Wed Jun 24 17:47:02 UTC 2026","","Réinitialisation des champs Synthése de paiement","Retinitialiser les champs",""
"","20784","Ajouter un nouveau repas avec quantite nulle","","Wed Jun 24 17:44:16 UTC 2026","broken","Wed Jun 24 17:44:37 UTC 2026","","Ajouterun nouveau repas","Ajouter un nouveau repas avec quantite nulle",""
"","20827","Ajouter un nouveau repas avec nom deja existant","","Wed Jun 24 17:45:18 UTC 2026","broken","Wed Jun 24 17:45:39 UTC 2026","","ajouter un repas","Ajouter un nouveau repas avec nom deja existant",""
"","20611","AuthentificationPage","","Wed Jun 24 17:45:39 UTC 2026","broken","Wed Jun 24 17:46:00 UTC 2026","","Authentification page","AuthentificationPage",""
"Background:","20777","Acceder au formulaire d ajout d un repas via le menu cantine","","Wed Jun 24 17:44:37 UTC 2026","broken","Wed Jun 24 17:44:58 UTC 2026","","Ajouter un repas","Acceder au formulaire d ajout d un repas via le menu cantine",""
"","20768","Rechercher facture etudiant","","Wed Jun 24 17:47:02 UTC 2026","broken","Wed Jun 24 17:47:23 UTC 2026","","Recherche facture d un etudiant","Rechercher facture etudiant",""
"","207","Ajouter un nouveau repas avec datre dans le passe","","Wed Jun 24 17:47:02 UTC 2026","broken","Wed Jun 24 17:47:02 UTC 2026","","Ajouter un repas avec date passee","Ajouter un nouveau repas avec datre dans le passe",""
"","1","Ajouter un chaffeur avec Nom existant","","Wed Jun 24 17:43:55 UTC 2026","passed","Wed Jun 24 17:43:55 UTC 2026","","Ajouter un nouveau bus","Ajouter un chaffeur avec Nom existant",""
"","20801","Afficher le formulaire chauffeur","","Wed Jun 24 17:42:53 UTC 2026","broken","Wed Jun 24 17:43:14 UTC 2026","","Ajouter un nouveau bus","Afficher le formulaire chauffeur",""
"","20787","modifier un repas deja existant","","Wed Jun 24 17:46:21 UTC 2026","broken","Wed Jun 24 17:46:41 UTC 2026","","Modifier un repas existant","modifier un repas deja existant",""
"","37096","Afficher le formulaire d ajout d un bus","","Wed Jun 24 17:42:16 UTC 2026","broken","Wed Jun 24 17:42:53 UTC 2026","","Ajouter un nouveau bus","Afficher le formulaire d ajout d un bus",""
"","20849","Ajouter un chaffeur avec des informations valides","","Wed Jun 24 17:43:14 UTC 2026","broken","Wed Jun 24 17:43:35 UTC 2026","","Ajouter un nouveau bus","Ajouter un chaffeur avec des informations valides",""
"","20803","Ajouter un chaffeur avec Nom existant","","Wed Jun 24 17:43:35 UTC 2026","broken","Wed Jun 24 17:43:55 UTC 2026","","Ajouter un nouveau bus","Ajouter un chaffeur avec Nom existant",""
"","20814","Ajouter un chauffeur avec Nom vide","","Wed Jun 24 17:44:58 UTC 2026","broken","Wed Jun 24 17:45:18 UTC 2026","","Ajouter un nouveau chauffeur sans Nom","Ajouter un chauffeur avec Nom vide",""
"","20591","Ajouter un nouveau repas avec nom vide","","Wed Jun 24 17:43:55 UTC 2026","broken","Wed Jun 24 17:44:16 UTC 2026","","Ajouter un repas avec nom vide","Ajouter un nouveau repas avec nom vide",""
